time,precip_mm,snow_depth_cm,min_temp
2020-05-18,19.6,,-3.8
2020-05-25,0.4,,7.5
2020-06-01,13.0,,6.6
2020-06-08,18.400000000000002,,10.0
2020-06-15,24.4,,8.0
2020-06-22,0.2,,9.7
2020-06-29,6.8,,10.9
2020-07-06,0.0,,18.5
2020-07-13,44.8,,18.0
2020-07-20,11.8,,17.4
2020-07-27,10.4,,15.3
2020-08-03,68.2,,16.9
2020-08-10,10.4,,13.3
2020-08-17,5.8,,15.0
2020-08-24,0.8,,11.0
2020-08-31,6.4,,13.9
2020-09-07,19.4,,9.4
2020-09-14,3.8,,6.7
2020-09-21,0.0,,3.1
2020-09-28,10.4,,6.7
2020-10-05,14.4,,3.3
2020-10-12,4.0,,2.8
2020-10-19,30.0,,2.6
2020-10-26,12.4,,1.8
2020-11-02,10.4,0.1,-5.4
2020-11-09,0.0,,1.8
2020-11-16,11.2,,0.1
2020-11-23,20.0,1.7,-6.2
2020-11-30,31.0,1.1,-1.7
2020-12-07,13.0,1.1,-6.3
2020-12-14,12.0,0.4,-6.7
2020-12-21,5.8,0.2,-9.7
2020-12-28,30.0,1.6,-5.5
2021-01-04,19.6,0.7,-5.6
2021-01-11,0.4,0.2,-9.3
2021-01-18,5.6,0.1,-4.6
2021-01-25,1.2,0.0,-12.6
2021-02-01,7.6000000000000005,0.8,-14.6
2021-02-08,7.4,0.3,-13.4
2021-02-15,8.6,0.6,-14.8
2021-02-22,21.8,1.8,-16.0
2021-03-01,7.4,1.0,-9.8
2021-03-08,0.2,0.0,-13.6
2021-03-15,2.0,,-9.0
2021-03-22,0.4,,-5.3
2021-03-29,42.8,,-0.7
2021-04-05,0.0,,-5.1
2021-04-12,20.0,,1.8
2021-04-19,5.2,,1.6
2021-04-26,6.6,0.2,-2.7
2021-05-03,26.4,,1.2
2021-05-10,4.6,,1.4
2021-05-17,0.0,,0.4
2021-05-24,0.0,,12.3
2021-05-31,14.799999999999999,,2.0
2021-06-07,7.0,,12.8
2021-06-14,13.0,,15.6
2021-06-21,11.4,,9.2
2021-06-28,25.0,,8.8
2021-07-05,48.0,,13.9
2021-07-12,40.2,,13.0
2021-07-19,18.6,,18.1
2021-07-26,19.2,,13.5
2021-08-02,18.0,,11.0
2021-08-09,21.0,,13.6
2021-08-16,2.6,,13.2
2021-08-23,0.6,,18.8
2021-08-30,33.2,,17.6
2021-09-06,10.8,,12.2
2021-09-13,50.8,,12.0
2021-09-20,25.2,,10.2
2021-09-27,71.2,,6.9
2021-10-04,24.2,,7.0
2021-10-11,11.8,,14.1
2021-10-18,14.4,,4.1
2021-10-25,23.6,,2.3
2021-11-01,27.8,,3.0
2021-11-08,0.0,,-3.2
