,ds,y,national_index,week_of_year,is_holiday
322,2020-03-09,144,10279.0,11,0
323,2020-03-16,101,0.0,12,0
324,2020-03-23,64,0.0,13,0
325,2020-03-30,50,0.0,14,0
326,2020-04-06,41,8336.0,15,1
327,2020-04-13,32,968.0,16,0
328,2020-04-20,26,0.0,17,0
329,2020-04-27,46,0.0,18,0
330,2020-05-04,53,7845.0,19,0
331,2020-05-11,54,7181.0,20,0
332,2020-05-18,69,0.0,21,0
333,2020-05-25,104,0.0,22,0
334,2020-06-01,100,2983.0,23,0
335,2020-06-08,95,16907.0,24,0
336,2020-06-15,116,0.0,25,0
337,2020-06-22,76,0.0,26,0
338,2020-06-29,107,0.0,27,1
339,2020-07-06,91,20411.0,28,0
340,2020-07-13,108,2748.0,29,0
341,2020-07-20,118,0.0,30,0
342,2020-07-27,112,0.0,31,0
343,2020-08-03,121,9882.0,32,0
344,2020-08-10,116,14666.0,33,0
345,2020-08-17,140,0.0,34,0
346,2020-08-24,129,0.0,35,0
347,2020-08-31,119,0.0,36,0
348,2020-09-07,127,22795.0,37,1
349,2020-09-14,129,0.0,38,0
350,2020-09-21,147,0.0,39,0
351,2020-09-28,149,0.0,40,0
352,2020-10-05,121,15600.0,41,0
353,2020-10-12,120,5597.0,42,0
354,2020-10-19,132,0.0,43,0
355,2020-10-26,135,0.0,44,0
356,2020-11-02,98,5678.0,45,0
357,2020-11-09,132,14667.0,46,0
358,2020-11-16,113,0.0,47,0
359,2020-11-23,94,0.0,48,0
360,2020-11-30,109,0.0,49,0
361,2020-12-07,101,17963.0,50,0
362,2020-12-14,93,0.0,51,0
363,2020-12-21,115,0.0,52,1
364,2020-12-28,76,0.0,53,1
365,2021-01-04,85,8299.0,1,0
366,2021-01-11,69,7126.0,2,0
367,2021-01-18,72,0.0,3,0
368,2021-01-25,62,0.0,4,0
369,2021-02-01,80,1849.0,5,0
370,2021-02-08,75,13592.0,6,0
371,2021-02-15,81,0.0,7,0
372,2021-02-22,83,0.0,8,0
373,2021-03-01,76,2963.0,9,0
374,2021-03-08,68,12473.0,10,0
375,2021-03-15,66,0.0,11,0
376,2021-03-22,86,0.0,12,0
377,2021-03-29,90,0.0,13,1
378,2021-04-05,61,10931.0,14,0
379,2021-04-12,68,3269.0,15,0
380,2021-04-19,64,0.0,16,0
381,2021-04-26,85,0.0,17,0
382,2021-05-03,90,7133.0,18,0
383,2021-05-10,94,10980.0,19,0
384,2021-05-17,98,0.0,20,0
385,2021-05-24,112,0.0,21,0
386,2021-05-31,113,0.0,22,0
387,2021-06-07,104,21688.0,23,0
388,2021-06-14,103,0.0,24,0
389,2021-06-21,138,0.0,25,0
390,2021-06-28,110,0.0,26,1
391,2021-07-05,153,16340.0,27,0
392,2021-07-12,139,6844.0,28,0
393,2021-07-19,96,0.0,29,0
394,2021-07-26,165,0.0,30,0
395,2021-08-02,95,7652.0,31,0
396,2021-08-09,129,17634.0,32,0
397,2021-08-16,138,0.0,33,0
398,2021-08-23,162,0.0,34,0
399,2021-08-30,186,0.0,35,0
400,2021-09-06,166,20616.0,36,1
401,2021-09-13,145,2822.0,37,0
402,2021-09-20,161,0.0,38,0
403,2021-09-27,144,0.0,39,0
404,2021-10-04,165,12508.0,40,0
405,2021-10-11,132,11515.0,41,0
406,2021-10-18,172,0.0,42,0
407,2021-10-25,183,0.0,43,0
408,2021-11-01,142,3418.0,44,0
409,2021-11-08,120,19091.0,45,0
410,2021-11-15,170,0.0,46,0
411,2021-11-22,143,0.0,47,0
412,2021-11-29,139,0.0,48,0
413,2021-12-06,108,19776.0,49,0
414,2021-12-13,158,2247.0,50,0
415,2021-12-20,128,0.0,51,1
416,2021-12-27,118,0.0,52,1
417,2022-01-03,80,5303.285714285715,1,1
418,2022-01-10,92,20238.125,2,0
419,2022-01-17,83,1743.25,3,0
420,2022-01-24,100,0.0,4,0
421,2022-01-31,109,700.5,5,0
422,2022-02-07,100,14597.875,6,0
423,2022-02-14,86,8706.75,7,0
424,2022-02-21,100,0.0,8,0
425,2022-02-28,107,370.375,9,0
426,2022-03-07,118,13400.0,10,0
427,2022-03-14,98,7360.125,11,0
428,2022-03-21,87,0.0,12,0
429,2022-03-28,90,0.0,13,0
430,2022-04-04,114,5034.375,14,0
431,2022-04-11,118,13670.625,15,1
432,2022-04-18,127,414.625,16,0
433,2022-04-25,115,0.0,17,0
434,2022-05-02,109,2401.5,18,0
435,2022-05-09,111,17459.625,19,0
436,2022-05-16,144,3913.25,20,0
437,2022-05-23,123,0.0,21,0
438,2022-05-30,141,0.0,22,0
439,2022-06-06,162,14054.0,23,0
440,2022-06-13,146,12898.875,24,0
441,2022-06-20,138,0.0,25,0
442,2022-06-27,155,0.0,26,1
443,2022-07-04,128,7428.0,27,0
444,2022-07-11,111,21083.25,28,0
445,2022-07-18,138,842.125,29,0
446,2022-07-25,155,0.0,30,0
447,2022-08-01,147,1580.25,31,0
448,2022-08-08,151,20386.375,32,0
449,2022-08-15,168,7573.375,33,0
450,2022-08-22,160,0.0,34,0
451,2022-08-29,138,0.0,35,0
452,2022-09-05,123,10341.25,36,1
453,2022-09-12,143,17580.875,37,0
454,2022-09-19,145,0.0,38,0
455,2022-09-26,149,0.0,39,0
456,2022-10-03,146,4866.25,40,0
457,2022-10-10,137,21281.375,41,0
458,2022-10-17,131,2137.125,42,0
459,2022-10-24,147,0.0,43,0
460,2022-10-31,132,427.25,44,0
461,2022-11-07,177,17550.875,45,0
462,2022-11-14,139,9540.0,46,0
463,2022-11-21,113,0.0,47,0
464,2022-11-28,139,0.0,48,0
465,2022-12-05,100,10286.5,49,0
466,2022-12-12,98,16708.875,50,0
467,2022-12-19,137,0.0,51,1
468,2022-12-26,101,0.0,52,1
469,2023-01-02,92,5303.285714285715,1,1
470,2023-01-09,132,20238.125,2,0
471,2023-01-16,130,1743.25,3,0
